model,t_stat,p_value,mean_diff,significant
attn_lgbm_B1_hour_sin_cos,17.86425737815304,2.452367140569942e-08,0.21461005237699993,Yes
attn_logreg_B1_hour_sin_cos,17.246607967611716,3.338614282193876e-08,0.2000890104278894,Yes
attn_lgbm_B1_is_evening,16.602289164637444,4.658671628372421e-08,0.19758509616295494,Yes
attn_logreg_B1_is_evening,13.525544382470716,2.7613791443607134e-07,0.19557723897047397,Yes
logreg_B1_is_evening,19.202825382373927,1.2993776778741447e-08,0.14930770697528473,Yes
logreg_B1_hour_sin_cos,17.30875711910107,3.235048134473085e-08,0.14684423660326829,Yes
lgbm_B1_is_evening,14.270211474334452,1.7383549058917023e-07,0.13295098373756464,Yes
lgbm_B1_hour_sin_cos,10.630532456647515,2.1461516904791066e-06,0.12887103883214246,Yes
attn_logreg_B2_is_evening,4.427783719705744,0.0016524498002559083,0.03452268001779657,Yes
attn_lgbm_B2_hour_sin_cos,2.9019793607647886,0.01753875887637853,0.029038066442876764,Yes
attn_logreg_B2_hour_sin_cos,2.7063653460147394,0.024140743184308897,0.025304851722379063,Yes
attn_lgbm_B2_is_evening,2.7045159786402193,0.024213960624393908,0.022242228711751078,Yes
logreg_B2_hour_sin_cos,2.0934278483608177,0.06581637497659039,0.0074985373972079605,No
logreg_B2_is_evening,0.4105522356732157,0.6910028832056511,0.0016102309973634599,No
lgbm_B2_is_evening,0.5598047523340628,0.5892717313401941,0.0013862093372246642,No
